reward,prefix,hash,signature
261.63489667194096,dqns,0e6e0e,Gr5_Cr300_Sw2.0_Sv-10.0_Sf-15.0_Dr4_Oo-10.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
253.4632169678323,dqns,17bfc7,Gr5_Cr200_Sw8.0_Sv-10.0_Sf-15.0_Dr4_Oo-10.0_Ms40_Pb6_D0.95_M20000_m4000_B32_U20_T4
249.73640084200977,dqns,e19d48,Gr7_Cr50_Sw4.0_Sv-10.0_Sf-15.0_Dr8_Oo-20.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
246.56913509897888,dqns,4bd2b3,Gr7_Cr200_Sw8.0_Sv-20_Sf-20.0_Dr16_Oo-10.0_Ms10_Pb6_D0.9_M20000_m4000_B32_U20_T4
226.15264481281295,dqns,a0345c,Gr5_Cr300_Sw2.0_Sv-10.0_Sf-10.0_Dr4_Oo-15.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
213.950103,dqns,eae655,Gr5_Cr200_Sw8.0_Sv-20_Sf-15.0_Dr4_Oo-20.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
201.40513191691716,dqns,43cd7f,Gr9_Cr100_Sw8.0_Sv-20_Sf-20.0_Dr8_Oo-10.0_Ms10_Pb6_D0.85_M20000_m4000_B32_U20_T4
159.6538876718913,dqns,75f326,Gr9_Cr200_Sw0.5_Sv-20_Sf-20.0_Dr4_Oo-15.0_Ms20_Pb6_D0.9_M20000_m4000_B32_U20_T4
158.17573925823996,dqns,0d9c94,Gr9_Cr200_Sw4.0_Sv-10.0_Sf-15.0_Dr4_Oo-15.0_Ms20_Pb6_D0.9_M20000_m4000_B32_U20_T4
148.6794889472049,dqns,93c775,Gr9_Cr200_Sw1.0_Sv-15.0_Sf-15.0_Dr2_Oo-10.0_Ms20_Pb6_D0.85_M20000_m4000_B32_U20_T4
146.25200668146803,dqns,1f9b2d,Gr5_Cr200_Sw2.0_Sv-20_Sf-20.0_Dr4_Oo-20.0_Ms80_Pb6_D0.95_M20000_m4000_B32_U20_T4
106.63199042398739,dqns,62fe84,Gr5_Cr200_Sw1.0_Sv-15.0_Sf-20.0_Dr2_Oo-15.0_Ms10_Pb6_D0.9_M20000_m4000_B32_U20_T4
102.23580362995878,dqns,3cd430,Gr9_Cr200_Sw0.5_Sv-20_Sf-15.0_Dr2_Oo-20.0_Ms10_Pb6_D0.9_M20000_m4000_B32_U20_T4
101.450343,dqns,e9b9c3,Gr5_Cr200_Sw1.0_Sv-10.0_Sf-15.0_Dr4_Oo-10.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
95.463666,dqns,aa3e48,Gr5_Cr200_Sw0.5_Sv-20_Sf-15.0_Dr2_Oo-20.0_Ms10_Pb6_D0.8_M20000_m4000_B32_U20_T4
89.47029382527195,dqns,8f4e08,Gr7_Cr200_Sw4.0_Sv-15.0_Sf-15.0_Dr16_Oo-20.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
70.32593963970693,dqns,f55e3d,Gr5_Cr200_Sw1.0_Sv-20_Sf-10.0_Dr2_Oo-10.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
75.15842798572108,dqns,7286b3,Gr5_Cr200_Sw0.5_Sv-20_Sf-10.0_Dr8_Oo-10.0_Ms10_Pb6_D0.85_M20000_m4000_B32_U20_T4
56.24070823402542,dqns,83d98d,Gr5_Cr100_Sw1.0_Sv-15.0_Sf-15.0_Dr2_Oo-10.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
47.45863161751503,dqns,c583f9,Gr9_Cr200_Sw2.0_Sv-10.0_Sf-20.0_Dr2_Oo-10.0_Ms20_Pb6_D0.95_M20000_m4000_B32_U20_T4
47.395631,dqns,8af1eb,Gr5_Cr200_Sw0.5_Sv-10.0_Sf-15.0_Dr2_Oo-15.0_Ms40_Pb6_D0.85_M20000_m4000_B32_U20_T4
39.87806825864424,dqns,891370,Gr9_Cr200_Sw1.0_Sv-10.0_Sf-10.0_Dr8_Oo-10.0_Ms80_Pb6_D0.9_M20000_m4000_B32_U20_T4
39.37989247866422,dqns,a057d9,Gr7_Cr200_Sw0.5_Sv-10.0_Sf-10.0_Dr4_Oo-20.0_Ms40_Pb6_D0.8_M20000_m4000_B32_U20_T4
38.858924,dqns,fd1e76,Gr5_Cr200_Sw1.0_Sv-10.0_Sf-20.0_Dr2_Oo-15.0_Ms20_Pb6_D0.95_M20000_m4000_B32_U20_T4
36.556235,dqns,88c22d,Gr5_Cr200_Sw0.5_Sv-20_Sf-20.0_Dr2_Oo-15.0_Ms20_Pb6_D0.95_M20000_m4000_B32_U20_T4
6.2460929077304925,dqns,8f18b0,Gr5_Cr50_Sw8.0_Sv-10.0_Sf-20.0_Dr8_Oo-15.0_Ms10_Pb6_D0.95_M20000_m4000_B32_U20_T4
0.9766148670297987,dqns,09eebc,Gr9_Cr50_Sw0.5_Sv-10.0_Sf-10.0_Dr8_Oo-15.0_Ms80_Pb6_D0.95_M20000_m4000_B32_U20_T4
-1.1768953513195335,dqns,443826,Gr9_Cr200_Sw4.0_Sv-15.0_Sf-20.0_Dr2_Oo-20.0_Ms80_Pb6_D0.8_M20000_m4000_B32_U20_T4
-14.757150517223359,dqns,264d5d,Gr9_Cr200_Sw1.0_Sv-15.0_Sf-15.0_Dr4_Oo-15.0_Ms10_Pb6_D0.85_M20000_m4000_B32_U20_T4
-21.41458568398216,dqns,acf9d1,Gr9_Cr50_Sw8.0_Sv-20_Sf-15.0_Dr8_Oo-20.0_Ms20_Pb6_D0.8_M20000_m4000_B32_U20_T4
-55.9230674185324,dqns,dddb12,Gr7_Cr200_Sw0.5_Sv-15.0_Sf-10.0_Dr4_Oo-20.0_Ms40_Pb6_D0.9_M20000_m4000_B32_U20_T4
-2590.1603255824853,dqns,ded5d6,Gr7_Cr100_Sw1.0_Sv-10.0_Sf-20.0_Dr8_Oo-15.0_Ms10_Pb6_D0.9_M20000_m4000_B32_U20_T4
